Date,Close
08-07-21,217.603
09-07-21,218.983
12-07-21,228.567
13-07-21,222.847
14-07-21,217.793
15-07-21,216.867
16-07-21,214.740
19-07-21,215.407
20-07-21,220.167
21-07-21,218.430
22-07-21,216.420
23-07-21,214.460
26-07-21,219.207
27-07-21,214.927
28-07-21,215.660
29-07-21,225.783
30-07-21,229.067
02-08-21,236.557
03-08-21,236.580
04-08-21,236.973
05-08-21,238.210
06-08-21,233.033
09-08-21,237.920
10-08-21,236.663
11-08-21,235.940
12-08-21,240.750
13-08-21,239.057
16-08-21,228.723
17-08-21,221.903
18-08-21,229.663
19-08-21,224.490
20-08-21,226.753
23-08-21,235.433
24-08-21,236.163
25-08-21,237.067
26-08-21,233.720
27-08-21,237.307
30-08-21,243.637
31-08-21,245.240
01-09-21,244.697
02-09-21,244.130
03-09-21,244.523
07-09-21,250.973
08-09-21,251.290
09-09-21,251.620
10-09-21,245.423
13-09-21,247.667
14-09-21,248.163
15-09-21,251.943
16-09-21,252.330
17-09-21,253.163
20-09-21,243.390
21-09-21,246.460
22-09-21,250.647
23-09-21,251.213
24-09-21,258.130
27-09-21,263.787
28-09-21,259.187
29-09-21,260.437
30-09-21,258.493
01-10-21,258.407
04-10-21,260.510
05-10-21,260.197
06-10-21,260.917
07-10-21,264.537
08-10-21,261.830
11-10-21,263.980
12-10-21,268.573
13-10-21,270.360
14-10-21,272.773
15-10-21,281.010
18-10-21,290.037
19-10-21,288.090
20-10-21,288.600
21-10-21,298.000
22-10-21,303.227
25-10-21,341.620
26-10-21,339.477
27-10-21,345.953
28-10-21,359.013
29-10-21,371.333
01-11-21,402.863
02-11-21,390.667
03-11-21,404.620
04-11-21,409.970
05-11-21,407.363
08-11-21,387.647
09-11-21,341.167
10-11-21,355.983
11-11-21,354.503
12-11-21,344.473
15-11-21,337.797
16-11-21,351.577
17-11-21,363.003
18-11-21,365.460
19-11-21,379.020
22-11-21,385.623
23-11-21,369.677
24-11-21,372.000
26-11-21,360.640
29-11-21,378.997
30-11-21,381.587
01-12-21,365.000
02-12-21,361.533
03-12-21,338.323
06-12-21,336.337
07-12-21,350.583
08-12-21,356.320
09-12-21,334.600
10-12-21,339.010
13-12-21,322.137
14-12-21,319.503
15-12-21,325.330
16-12-21,308.973
17-12-21,310.857
20-12-21,299.980
21-12-21,312.843
22-12-21,336.290
23-12-21,355.667
27-12-21,364.647
28-12-21,362.823
29-12-21,362.063
30-12-21,356.780
31-12-21,352.260
03-01-22,399.927
04-01-22,383.197
05-01-22,362.707
06-01-22,354.900
07-01-22,342.320
10-01-22,352.707
11-01-22,354.800
12-01-22,368.740
13-01-22,343.853
14-01-22,349.870
18-01-22,343.503
19-01-22,331.883
20-01-22,332.090
21-01-22,314.633
24-01-22,310.000
25-01-22,306.133
26-01-22,312.470
27-01-22,276.367
28-01-22,282.117
31-01-22,312.240
01-02-22,310.417
02-02-22,301.887
03-02-22,297.047
04-02-22,307.773
07-02-22,302.447
08-02-22,307.333
09-02-22,310.667
10-02-22,301.517
11-02-22,286.667
14-02-22,291.920
15-02-22,307.477
16-02-22,307.797
17-02-22,292.117
18-02-22,285.660
22-02-22,273.843
